|Posición|Descripcion|conc
2660|480251|Los demas papeles y cartones, sin fibras de gramaje inferior a 40 g/m2, obtenidos por proc|480251 - Los demas papeles y cartones, sin fibras de gramaje inferior a 40 g/m2, obtenidos por proc
2661|480252|Papeles y carton sin fibras obtenidas por procedimientos mecanicos, de gramaje entre 40 y|480252 - Papeles y carton sin fibras obtenidas por procedimientos mecanicos, de gramaje entre 40 y
2662|480253|Los demas papel y carton, de gramaje superior a 150 g/m2.|480253 - Los demas papel y carton, de gramaje superior a 150 g/m2.
2663|480254|Papeles y cartones, sin estucar ni recubrir, de los tipos utilizados para escribir, imprimir ...|480254 - Papeles y cartones, sin estucar ni recubrir, de los tipos utilizados para escribir, imprimir ...
2664|480255|Papeles y cartones, sin estucar ni recubrir, de los tipos utilizados para escribir, imprimir ...|480255 - Papeles y cartones, sin estucar ni recubrir, de los tipos utilizados para escribir, imprimir ...
2665|480256|Papeles y cartones, sin estucar ni recubrir, de los tipos utilizados para escribir, imprimir ...|480256 - Papeles y cartones, sin estucar ni recubrir, de los tipos utilizados para escribir, imprimir ...
2666|480257|Papeles y cartones, sin estucar ni recubrir, de los tipos utilizados para escribir, imprimir ...|480257 - Papeles y cartones, sin estucar ni recubrir, de los tipos utilizados para escribir, imprimir ...
2667|480258|Papeles y cartones, sin estucar ni recubrir, de los tipos utilizados para escribir, imprimir ...|480258 - Papeles y cartones, sin estucar ni recubrir, de los tipos utilizados para escribir, imprimir ...
2668|480260|Los demas papel y carton mas 10% en peso del contenido total de fibra este constituido por|480260 - Los demas papel y carton mas 10% en peso del contenido total de fibra este constituido por
2669|480261|Papeles y cartones, sin estucar ni recubrir, de los tipos utilizados para escribir, imprimir ...|480261 - Papeles y cartones, sin estucar ni recubrir, de los tipos utilizados para escribir, imprimir ...
2670|480262|Papeles y cartones, sin estucar ni recubrir, de los tipos utilizados para escribir, imprimir ...|480262 - Papeles y cartones, sin estucar ni recubrir, de los tipos utilizados para escribir, imprimir ...
2671|480269|Papeles y cartones, sin estucar ni recubrir, de los tipos utilizados para escribir, imprimir ...|480269 - Papeles y cartones, sin estucar ni recubrir, de los tipos utilizados para escribir, imprimir ...
2672|480300|Papel del tipo utilizado para papel higiénico, toallitas para desmaquillar, toallas, servilletas ...|480300 - Papel del tipo utilizado para papel higiénico, toallitas para desmaquillar, toallas, servilletas ...
2673|480411|"Papel y cartón para caras ""cubiertas"" [""kraftliner""], sin estucar ni recubrir, en bobinas ""rollos"" ..."|"480411 - Papel y cartón para caras ""cubiertas"" [""kraftliner""], sin estucar ni recubrir, en bobinas ""rollos"" ..."
2674|480419|"Papel y cartón para caras ""cubiertas"" [""kraftliner""], sin estucar ni recubrir, en bobinas ""rollos"" ..."|"480419 - Papel y cartón para caras ""cubiertas"" [""kraftliner""], sin estucar ni recubrir, en bobinas ""rollos"" ..."
2675|480421|"Papel Kraft para sacos ""bolsas"", sin estucar ni recubrir, en bobinas ""rollos"" de anchura > ..."|"480421 - Papel Kraft para sacos ""bolsas"", sin estucar ni recubrir, en bobinas ""rollos"" de anchura > ..."
2676|480429|"Papel Kraft para sacos ""bolsas"", sin estucar ni recubrir, en bobinas ""rollos"" de anchura > ..."|"480429 - Papel Kraft para sacos ""bolsas"", sin estucar ni recubrir, en bobinas ""rollos"" de anchura > ..."
2677|480431|"Papel y cartón Kraft, sin estucar ni recubrir, en bobinas ""rollos"" de anchura > 36 cm o en ..."|"480431 - Papel y cartón Kraft, sin estucar ni recubrir, en bobinas ""rollos"" de anchura > 36 cm o en ..."
2678|480439|"Papel y cartón Kraft, sin estucar ni recubrir, en bobinas ""rollos"" de anchura > 36 cm o en ..."|"480439 - Papel y cartón Kraft, sin estucar ni recubrir, en bobinas ""rollos"" de anchura > 36 cm o en ..."
2679|480441|"Papel y cartón Kraft, sin estucar ni recubrir, en bobinas ""rollos"" de anchura > 36 cm o en ..."|"480441 - Papel y cartón Kraft, sin estucar ni recubrir, en bobinas ""rollos"" de anchura > 36 cm o en ..."
2680|480442|"Papel y cartón Kraft, sin estucar ni recubrir, en bobinas ""rollos"" de anchura > 36 cm o en ..."|"480442 - Papel y cartón Kraft, sin estucar ni recubrir, en bobinas ""rollos"" de anchura > 36 cm o en ..."
2681|480449|"Papel y cartón Kraft, sin estucar ni recubrir, en bobinas ""rollos"" de anchura > 36 cm o en ..."|"480449 - Papel y cartón Kraft, sin estucar ni recubrir, en bobinas ""rollos"" de anchura > 36 cm o en ..."
2682|480451|"Papel y cartón Kraft, sin estucar ni recubrir, en bobinas ""rollos"" de anchura > 36 cm o en ..."|"480451 - Papel y cartón Kraft, sin estucar ni recubrir, en bobinas ""rollos"" de anchura > 36 cm o en ..."
2683|480452|"Papel y cartón Kraft, sin estucar ni recubrir, en bobinas ""rollos"" de anchura > 36 cm o en ..."|"480452 - Papel y cartón Kraft, sin estucar ni recubrir, en bobinas ""rollos"" de anchura > 36 cm o en ..."
2684|480459|"Papel y cartón Kraft, sin estucar ni recubrir, en bobinas ""rollos"" de anchura > 36 cm o en ..."|"480459 - Papel y cartón Kraft, sin estucar ni recubrir, en bobinas ""rollos"" de anchura > 36 cm o en ..."
2685|480510|Papel semiquimico para ondular, en bobinas o en hojas.|480510 - Papel semiquimico para ondular, en bobinas o en hojas.
2686|480511|"Papel semiquímico para acanalar, sin estucar ni recubrir, en bobinas ""rollos"" de anchura > ..."|"480511 - Papel semiquímico para acanalar, sin estucar ni recubrir, en bobinas ""rollos"" de anchura > ..."
2687|480512|"Papel paja para acanalar, en bobinas ""rollos"" de anchura > 36 cm, de peso >= 130 g/m²"|"480512 - Papel paja para acanalar, en bobinas ""rollos"" de anchura > 36 cm, de peso >= 130 g/m²"
2688|480519|"Papel para acanalar, sin estucar ni recubrir, en bobinas ""rollos"" de anchura > 36 cm o en hojas ..."|"480519 - Papel para acanalar, sin estucar ni recubrir, en bobinas ""rollos"" de anchura > 36 cm o en hojas ..."
2689|480521|Papel y carton, multicapas, con todas las capas blanqueadas, bobina o|480521 - Papel y carton, multicapas, con todas las capas blanqueadas, bobina o
2690|480522|Papel y carton, multicapas, con una de las capas exteriores blanqueada|480522 - Papel y carton, multicapas, con una de las capas exteriores blanqueada
2691|480523|Papel y carton multicapas, con 3 o mas capas, blanqueadas solo las exteriores.|480523 - Papel y carton multicapas, con 3 o mas capas, blanqueadas solo las exteriores.
2692|480524|"Testliner, reciclado, sin estucar ni recubrir, en bobinas ""rollos"" de anchura > 36 cm o en ..."|"480524 - Testliner, reciclado, sin estucar ni recubrir, en bobinas ""rollos"" de anchura > 36 cm o en ..."
2693|480525|"Testliner, reciclado, sin estucar ni recubrir, en bobinas ""rollos"" de anchura > 36 cm o en ..."|"480525 - Testliner, reciclado, sin estucar ni recubrir, en bobinas ""rollos"" de anchura > 36 cm o en ..."
2694|480529|Los demas papeles y carton, multicapas.|480529 - Los demas papeles y carton, multicapas.
2695|480530|Papel sulfito para embalaje, sin revestir, en rollos de anchura> 36 cm o en hojas cuadradas ...|480530 - Papel sulfito para embalaje, sin revestir, en rollos de anchura> 36 cm o en hojas cuadradas ...
2696|480540|"Papel y cartón filtro, sin estucar ni recubrir, en bobinas ""rollos"" de anchura > 36 cm o en ..."|"480540 - Papel y cartón filtro, sin estucar ni recubrir, en bobinas ""rollos"" de anchura > 36 cm o en ..."
2697|480550|"Papel y cartón fieltro y papel y cartón lana, sin estucar ni recubrir, en bobinas ""rollos"" ..."|"480550 - Papel y cartón fieltro y papel y cartón lana, sin estucar ni recubrir, en bobinas ""rollos"" ..."
2698|480560|Los demas papeles y cartones, de gramaje inferior o igual a 150 g/m2.|480560 - Los demas papeles y cartones, de gramaje inferior o igual a 150 g/m2.
2699|480570|Los demas papeles y carton, gramaje entre 150 y 225 g/m2., ambos exclu|480570 - Los demas papeles y carton, gramaje entre 150 y 225 g/m2., ambos exclu
2700|480580|Los demas papeles y cartones de gramaje superior o igual a 225 g/m|480580 - Los demas papeles y cartones de gramaje superior o igual a 225 g/m
2701|480591|"Papeles y cartones, sin estucar ni recubrir, en bobinas ""rollos"" de anchura > 36 cm o en hojas ..."|"480591 - Papeles y cartones, sin estucar ni recubrir, en bobinas ""rollos"" de anchura > 36 cm o en hojas ..."
2702|480592|"Papeles y cartones, sin estucar ni recubrir, en bobinas ""rollos"" de anchura > 36 cm o en hojas ..."|"480592 - Papeles y cartones, sin estucar ni recubrir, en bobinas ""rollos"" de anchura > 36 cm o en hojas ..."
2703|480593|"Papeles y cartones, sin estucar ni recubrir, en bobinas ""rollos"" de anchura > 36 cm o en hojas ..."|"480593 - Papeles y cartones, sin estucar ni recubrir, en bobinas ""rollos"" de anchura > 36 cm o en hojas ..."
2704|480610|"Papel y cartón sulfurizados ""pergamino vegetal"", en bobinas ""rollos"" de anchura > 36 cm o en ..."|"480610 - Papel y cartón sulfurizados ""pergamino vegetal"", en bobinas ""rollos"" de anchura > 36 cm o en ..."
2705|480620|"Papel resistente a las grasas [""greaseproof""], en bobinas ""rollos"" de anchura > 36 cm o en ..."|"480620 - Papel resistente a las grasas [""greaseproof""], en bobinas ""rollos"" de anchura > 36 cm o en ..."
2706|480630|"Papel vegetal ""papel calco"", en bobinas ""rollos"" de anchura > 36 cm o en hojas de forma cuadrada ..."|"480630 - Papel vegetal ""papel calco"", en bobinas ""rollos"" de anchura > 36 cm o en hojas de forma cuadrada ..."
2707|480640|"Papel cristal y demás papeles calandrados transparentes o traslúcidos, en bobinas ""rollos"" ..."|"480640 - Papel cristal y demás papeles calandrados transparentes o traslúcidos, en bobinas ""rollos"" ..."
2708|480700|Papel y cartón obtenidos por pegado de hojas planas, sin estucar ni recubrir en la superficie ...|480700 - Papel y cartón obtenidos por pegado de hojas planas, sin estucar ni recubrir en la superficie ...
2709|480710|Papel y carton unido con betun, alquitran o asfalto, en bobinas o en hojas|480710 - Papel y carton unido con betun, alquitran o asfalto, en bobinas o en hojas
2710|480790|Los demas papeles de cartones obtenidos por pegado de hojas planas, sn|480790 - Los demas papeles de cartones obtenidos por pegado de hojas planas, sn
2711|480810|"Papel y cartón corrugados, incl. revestidos por encolado, incl. perforado, en bobinas ""rollos"" ..."|"480810 - Papel y cartón corrugados, incl. revestidos por encolado, incl. perforado, en bobinas ""rollos"" ..."
2712|480820|Papel y cartón corrugados, incluso revestidos por encolado, rizados (crepés), plisados, gofrados, ...|480820 - Papel y cartón corrugados, incluso revestidos por encolado, rizados (crepés), plisados, gofrados, ...
2713|480830|Papel y cartón corrugados, incluso revestidos por encolado, rizados (crepés), plisados, gofrados, ...|480830 - Papel y cartón corrugados, incluso revestidos por encolado, rizados (crepés), plisados, gofrados, ...
2714|480840|Papel kraft, rizados o plisados, con o sin estampados o perforados, en rollos de anchura> 36 ...|480840 - Papel kraft, rizados o plisados, con o sin estampados o perforados, en rollos de anchura> 36 ...
2715|480890|"Papel y cartón, rizados [""crepés""], plisados, gofrados, estampados o perforados, en bobinas ..."|"480890 - Papel y cartón, rizados [""crepés""], plisados, gofrados, estampados o perforados, en bobinas ..."
2716|480910|"Papel carbón ""carbónico"" y papeles simil. para copiar, incl. impresos, en bobinas ""rollos"" ..."|"480910 - Papel carbón ""carbónico"" y papeles simil. para copiar, incl. impresos, en bobinas ""rollos"" ..."
2717|480920|"Papel autocopia, incl. impreso, en bobinas ""rollos"" de anchura > 36 cm o en hojas cuadradas ..."|"480920 - Papel autocopia, incl. impreso, en bobinas ""rollos"" de anchura > 36 cm o en hojas cuadradas ..."
