|Posición|Descripcion|conc
2718|480990|Los papeles de transferencia, IVA incluido. impregnados o recubiertos de papel para esténciles ...|480990 - Los papeles de transferencia, IVA incluido. impregnados o recubiertos de papel para esténciles ...
2719|481011|Papel y carton para escribir, imprimir u otros fines graficos, de gramaje inferior o igual|481011 - Papel y carton para escribir, imprimir u otros fines graficos, de gramaje inferior o igual
2720|481012|Papel y carton tipo utilizado escribir, de gramaje superior a 150 g/m2|481012 - Papel y carton tipo utilizado escribir, de gramaje superior a 150 g/m2
2721|481013|Papel y cartón utilizados para escribir, imprimir u otros fines gráficos, sin fibras obtenidas ...|481013 - Papel y cartón utilizados para escribir, imprimir u otros fines gráficos, sin fibras obtenidas ...
2722|481014|Papel y cartón utilizados para escribir, imprimir u otros fines gráficos, sin fibras obtenidas ...|481014 - Papel y cartón utilizados para escribir, imprimir u otros fines gráficos, sin fibras obtenidas ...
2723|481019|Papel y cartón utilizados para escribir, imprimir u otros fines gráficos, sin fibras obtenidas ...|481019 - Papel y cartón utilizados para escribir, imprimir u otros fines gráficos, sin fibras obtenidas ...
2724|481021|Papeles couche o estucado ligero l.w.c.|481021 - Papeles couche o estucado ligero l.w.c.
2725|481022|Papel ligero recubrimiento utilizados para escribir, imprimir u otros fines gráficos, peso ...|481022 - Papel ligero recubrimiento utilizados para escribir, imprimir u otros fines gráficos, peso ...
2726|481029|Papel y cartón de los tipos utilizados para escribir, imprimir u otros fines gráficos, con ...|481029 - Papel y cartón de los tipos utilizados para escribir, imprimir u otros fines gráficos, con ...
2727|481031|Papel y cartón Kraft, blanqueados uniformemente en la masa y con un contenido de fibras de ...|481031 - Papel y cartón Kraft, blanqueados uniformemente en la masa y con un contenido de fibras de ...
2728|481032|Papel y cartón Kraft, blanqueados uniformemente en la masa y con un contenido de fibras de ...|481032 - Papel y cartón Kraft, blanqueados uniformemente en la masa y con un contenido de fibras de ...
2729|481039|Papel y cartón Kraft, estucados por una o las dos caras exclusivamente con caolín u otras sustancias ...|481039 - Papel y cartón Kraft, estucados por una o las dos caras exclusivamente con caolín u otras sustancias ...
2730|481091|Los demas papeles y cartones, multicapas|481091 - Los demas papeles y cartones, multicapas
2731|481092|Papel y cartón multicapas, estucados por una o las dos caras con caolín u otras sustancias ...|481092 - Papel y cartón multicapas, estucados por una o las dos caras con caolín u otras sustancias ...
2732|481099|Papel y cartón, estucados por una o las dos caras con caolín u otras sustancias inorgánicas, ...|481099 - Papel y cartón, estucados por una o las dos caras con caolín u otras sustancias inorgánicas, ...
